file,frame,latitude,longitude,category,length,normalized_length
roaddamage.mp4,600,None,None,4,212.663,0.097
roaddamage.mp4,600,None,None,4,149.912,0.068
roaddamage.mp4,600,None,None,4,488.163,0.222
roaddamage.mp4,600,None,None,4,616.635,0.28
roaddamage.mp4,600,None,None,1,361.397,0.164
roaddamage.mp4,610,None,None,4,145.606,0.066
roaddamage.mp4,610,None,None,1,903.995,0.41
roaddamage.mp4,610,None,None,4,133.713,0.061
roaddamage.mp4,620,None,None,4,259.52,0.118
roaddamage.mp4,620,None,None,4,146.226,0.066
roaddamage.mp4,620,None,None,1,593.058,0.269
roaddamage.mp4,620,None,None,4,115.528,0.052
roaddamage.mp4,620,None,None,4,176.83,0.08
roaddamage.mp4,630,None,None,4,150.868,0.068
roaddamage.mp4,630,None,None,4,202.249,0.092
roaddamage.mp4,630,None,None,1,405.594,0.184
roaddamage.mp4,630,None,None,4,322.078,0.146
roaddamage.mp4,630,None,None,1,281.559,0.128
roaddamage.mp4,630,None,None,4,136.93,0.062
roaddamage.mp4,630,None,None,4,277.042,0.126
roaddamage.mp4,630,None,None,4,340.836,0.155
roaddamage.mp4,640,None,None,4,229.401,0.104
roaddamage.mp4,640,None,None,4,222.312,0.101
roaddamage.mp4,640,None,None,4,348.854,0.158
roaddamage.mp4,640,None,None,4,494.903,0.225
roaddamage.mp4,640,None,None,1,614.26,0.279
roaddamage.mp4,650,None,None,4,243.091,0.11
roaddamage.mp4,650,None,None,1,530.882,0.241
roaddamage.mp4,650,None,None,4,384.547,0.175
roaddamage.mp4,650,None,None,4,134.952,0.061
roaddamage.mp4,650,None,None,4,230.035,0.104
roaddamage.mp4,660,None,None,4,126.866,0.058
roaddamage.mp4,660,None,None,4,118.294,0.054
roaddamage.mp4,660,None,None,4,175.198,0.08
roaddamage.mp4,670,None,None,4,588.972,0.267
roaddamage.mp4,670,None,None,4,187.535,0.085
roaddamage.mp4,670,None,None,4,227.958,0.103
roaddamage.mp4,670,None,None,4,225.894,0.103
roaddamage.mp4,670,None,None,1,253.437,0.115
roaddamage.mp4,670,None,None,4,126.519,0.057
roaddamage.mp4,680,None,None,4,240.701,0.109
roaddamage.mp4,680,None,None,4,256.731,0.117
roaddamage.mp4,680,None,None,4,213.11,0.097
roaddamage.mp4,680,None,None,4,197.486,0.09
roaddamage.mp4,680,None,None,3,1130.909,0.513
roaddamage.mp4,680,None,None,4,253.082,0.115
roaddamage.mp4,680,None,None,4,485.015,0.22
roaddamage.mp4,690,None,None,4,398.595,0.181
roaddamage.mp4,690,None,None,4,175.936,0.08
roaddamage.mp4,690,None,None,4,496.367,0.225
roaddamage.mp4,690,None,None,4,259.028,0.118
roaddamage.mp4,690,None,None,4,261.621,0.119
roaddamage.mp4,690,None,None,4,205.88,0.093
roaddamage.mp4,690,None,None,4,203.187,0.092
roaddamage.mp4,690,None,None,4,258.745,0.117
roaddamage.mp4,690,None,None,4,168.083,0.076
roaddamage.mp4,700,None,None,4,251.625,0.114
roaddamage.mp4,700,None,None,4,300.909,0.137
roaddamage.mp4,700,None,None,4,729.985,0.331
roaddamage.mp4,700,None,None,4,272.837,0.124
roaddamage.mp4,700,None,None,4,220.3,0.1
roaddamage.mp4,700,None,None,4,568.677,0.258
roaddamage.mp4,700,None,None,4,185.205,0.084
roaddamage.mp4,700,None,None,4,167.102,0.076
roaddamage.mp4,710,None,None,4,308.687,0.14
roaddamage.mp4,710,None,None,4,208.576,0.095
roaddamage.mp4,710,None,None,4,450.12,0.204
roaddamage.mp4,710,None,None,4,175.569,0.08
roaddamage.mp4,710,None,None,4,227.155,0.103
roaddamage.mp4,710,None,None,4,456.713,0.207
roaddamage.mp4,720,None,None,4,339.477,0.154
roaddamage.mp4,720,None,None,4,317.365,0.144
roaddamage.mp4,720,None,None,4,272.21,0.124
roaddamage.mp4,720,None,None,3,437.305,0.199
roaddamage.mp4,720,None,None,4,168.133,0.076
roaddamage.mp4,730,None,None,4,265.53,0.121
roaddamage.mp4,730,None,None,4,612.886,0.278
roaddamage.mp4,730,None,None,4,232.139,0.105
roaddamage.mp4,730,None,None,4,175.14,0.08
roaddamage.mp4,730,None,None,1,562.324,0.255
roaddamage.mp4,740,None,None,1,563.907,0.256
roaddamage.mp4,740,None,None,4,147.424,0.067
roaddamage.mp4,740,None,None,4,246.033,0.112
roaddamage.mp4,750,None,None,1,511.892,0.232
roaddamage.mp4,750,None,None,4,115.174,0.052
roaddamage.mp4,750,None,None,4,165.432,0.075
roaddamage.mp4,770,None,None,1,466.559,0.212
roaddamage.mp4,770,None,None,4,103.607,0.047
roaddamage.mp4,770,None,None,4,140.693,0.064
roaddamage.mp4,770,None,None,4,162.153,0.074
roaddamage.mp4,780,None,None,4,124.071,0.056
roaddamage.mp4,780,None,None,1,496.69,0.225
roaddamage.mp4,790,None,None,4,167.011,0.076
roaddamage.mp4,790,None,None,1,403.769,0.183
roaddamage.mp4,800,None,None,4,433.917,0.197
roaddamage.mp4,800,None,None,4,154.424,0.07
roaddamage.mp4,800,None,None,1,495.247,0.225
roaddamage.mp4,810,None,None,1,541.56,0.246
roaddamage.mp4,810,None,None,4,191.686,0.087
roaddamage.mp4,820,None,None,4,700.972,0.318
roaddamage.mp4,820,None,None,4,381.559,0.173
